Algoritmo,Data de execucao,Qtde lances,Qtde lances selecionados,Melhor resultado,Tempo execucao (seg),Cores disponiveis,Memoria total (Mb),Memoria maxima (Mb),Memoria liberada (Mb)
BACKTRACKING,23-06-2024 12:07:04,10,10,8846, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,10,9,9183, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,10,10,9403, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,10,9,9025, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,10,9,8277, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,10,8,9316, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,10,9,9032, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,10,10,12546, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,10,10,10585, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,10,10,10816, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,11,10,9778, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,11,10,10347, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,11,9,10821, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,11,9,11945, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,11,11,12706, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,11,11,11606, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,11,9,8836, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,11,11,11799, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,11,10,8918, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,11,10,9896, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,12,10,10254, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,12,10,9169, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,12,10,11105, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,12,9,8889, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,12,10,11008, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,12,11,11631, 0,12,266,4261,260
BACKTRACKING,23-06-2024 12:07:04,12,11,11063, 0,12,266,4261,260
